endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,end_screen_keys.keys,end_screen_keys.rt
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.0521,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,94,94,94,1,95,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_27.jpeg,did not like,2.455989137,,,,,,,,,,,
,,,,,,space,0.2176,NAN,,NAN,,0,95,95,95,1,96,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_10.jpeg,did not like,3.79605092,,,,,,,,,,,
,,,,,,space,0.0951,NAN,,NAN,,0,96,96,96,1,97,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_22.jpeg,liked,3.562416326,,,,,,,,,,,
,,,,,,space,0.1444,NAN,,NAN,,0,97,97,97,1,98,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_5.jpeg,liked,2.843822497,,,,,,,,,,,
,,,,,,space,0.7908,NAN,,NAN,,0,98,98,98,1,99,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_24.jpeg,liked,3.546495948,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.0672,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,99,99,99,1,100,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_3.jpeg,did not like,1.672012706,,,,,,,,,,,
,,,,,,space,0.5057,NAN,,NAN,,0,100,100,100,1,101,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_8.jpeg,liked,4.942172136,,,,,,,,,,,
,,,,,,space,0.116,NAN,,NAN,,0,101,101,101,1,102,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_16.jpeg,did not like,2.50187214,,,,,,,,,,,
,,,,,,space,0.4644,NAN,,NAN,,0,102,102,102,1,103,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_25.jpeg,liked,2.071164779,,,,,,,,,,,
,,,,,,space,0.4004,NAN,,NAN,,0,103,103,103,1,104,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_17.jpeg,did not like,5.336503566,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.5672,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,104,104,104,1,105,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_11.jpeg,liked,2.642157193,,,,,,,,,,,
,,,,,,space,0.368,NAN,,NAN,,0,105,105,105,1,106,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_18.jpeg,liked,4.456234322,,,,,,,,,,,
,,,,,,space,0.6131,NAN,,NAN,,0,106,106,106,1,107,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_6.jpeg,liked,4.438512181,,,,,,,,,,,
,,,,,,space,0.4196,NAN,,NAN,,0,107,107,107,1,108,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_21.jpeg,liked,2.682944783,,,,,,,,,,,
,,,,,,space,0.586,NAN,,NAN,,0,108,108,108,1,109,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_9.jpeg,did not like,4.51984296,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.6135,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,109,109,109,1,110,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_20.jpeg,did not like,3.195382774,,,,,,,,,,,
,,,,,,space,0.1509,NAN,,NAN,,0,110,110,110,1,111,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_12.jpeg,did not like,1.779333479,,,,,,,,,,,
,,,,,,space,0.0665,NAN,,NAN,,0,111,111,111,1,112,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_30.jpeg,liked,4.312468682,,,,,,,,,,,
,,,,,,space,0.392,NAN,,NAN,,0,112,112,112,1,113,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_13.jpeg,did not like,4.940433059,,,,,,,,,,,
,,,,,,space,0.2233,NAN,,NAN,,0,113,113,113,1,114,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_23.jpeg,did not like,2.7105123,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.2905,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,114,114,114,1,115,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_28.jpeg,liked,3.602308302,,,,,,,,,,,
,,,,,,space,0.134,NAN,,NAN,,0,115,115,115,1,116,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_15.jpeg,did not like,4.106391878,,,,,,,,,,,
,,,,,,space,0.5006,NAN,,NAN,,0,116,116,116,1,117,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_1.jpeg,liked,3.799433026,,,,,,,,,,,
,,,,,,space,0.4675,NAN,,NAN,,0,117,117,117,1,118,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_2.jpeg,liked,5.246980764,,,,,,,,,,,
,,,,,,space,0.4199,NAN,,NAN,,0,118,118,118,1,119,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_14.jpeg,liked,3.30081769,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.5505,0,0,0,0,1,,
,,,,,,,,5,,9,,0,119,119,119,1,120,Taylor,Neutral,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_29.jpeg,did not like,1.661473164,,,,,,,,,,,
,,,,space,0.4004,space,0.3425,NAN,,NAN,,0,120,120,120,1,121,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_15.jpeg,liked,3.613205605,,,,,,,,,,,
,,,,,,space,0.174,NAN,,NAN,,0,121,121,121,1,122,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_24.jpeg,did not like,4.988446431,,,,,,,,,,,
,,,,,,space,0.6334,NAN,,NAN,,0,122,122,122,1,123,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_23.jpeg,did not like,3.470791822,,,,,,,,,,,
,,,,,,space,0.5171,NAN,,NAN,,0,123,123,123,1,124,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_28.jpeg,liked,3.820572462,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.2171,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,124,124,124,1,125,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_22.jpeg,did not like,2.455989137,,,,,,,,,,,
,,,,,,space,0.2386,NAN,,NAN,,0,125,125,125,1,126,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_4.jpeg,did not like,3.79605092,,,,,,,,,,,
,,,,,,space,0.3263,NAN,,NAN,,0,126,126,126,1,127,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_6.jpeg,did not like,3.562416326,,,,,,,,,,,
,,,,,,space,0.3374,NAN,,NAN,,0,127,127,127,1,128,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_19.jpeg,did not like,2.843822497,,,,,,,,,,,
,,,,,,space,0.1775,NAN,,NAN,,0,128,128,128,1,129,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_3.jpeg,did not like,3.546495948,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.5665,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,129,129,129,1,130,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_20.jpeg,liked,1.672012706,,,,,,,,,,,
,,,,,,space,0.3731,NAN,,NAN,,0,130,130,130,1,131,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_7.jpeg,did not like,4.942172136,,,,,,,,,,,
,,,,,,space,0.4866,NAN,,NAN,,0,131,131,131,1,132,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_30.jpeg,did not like,2.50187214,,,,,,,,,,,
,,,,,,space,0.1336,NAN,,NAN,,0,132,132,132,1,133,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_8.jpeg,liked,2.071164779,,,,,,,,,,,
,,,,,,space,0.1671,NAN,,NAN,,0,133,133,133,1,134,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_26.jpeg,did not like,5.336503566,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.0598,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,134,134,134,1,135,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_16.jpeg,liked,2.642157193,,,,,,,,,,,
,,,,,,space,0.3198,NAN,,NAN,,0,135,135,135,1,136,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_10.jpeg,liked,4.456234322,,,,,,,,,,,
,,,,,,space,0.22,NAN,,NAN,,0,136,136,136,1,137,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_27.jpeg,liked,4.438512181,,,,,,,,,,,
,,,,,,space,0.2337,NAN,,NAN,,0,137,137,137,1,138,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_14.jpeg,did not like,2.682944783,,,,,,,,,,,
,,,,,,space,0.836,NAN,,NAN,,0,138,138,138,1,139,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_18.jpeg,did not like,4.51984296,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.6803,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,139,139,139,1,140,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_25.jpeg,did not like,3.195382774,,,,,,,,,,,
,,,,,,space,0.4078,NAN,,NAN,,0,140,140,140,1,141,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_17.jpeg,did not like,1.779333479,,,,,,,,,,,
,,,,,,space,0.2944,NAN,,NAN,,0,141,141,141,1,142,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_5.jpeg,did not like,4.312468682,,,,,,,,,,,
,,,,,,space,0.5939,NAN,,NAN,,0,142,142,142,1,143,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_11.jpeg,did not like,4.940433059,,,,,,,,,,,
,,,,,,space,0.5177,NAN,,NAN,,0,143,143,143,1,144,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_13.jpeg,did not like,2.7105123,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.5876,0,0,0,0,1,,
,,,,,,,,NAN,,NAN,,0,144,144,144,1,145,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_21.jpeg,did not like,3.602308302,,,,,,,,,,,
,,,,,,space,0.5654,NAN,,NAN,,0,145,145,145,1,146,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_12.jpeg,did not like,4.106391878,,,,,,,,,,,
,,,,,,space,1.0524,NAN,,NAN,,0,146,146,146,1,147,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_29.jpeg,did not like,3.799433026,,,,,,,,,,,
,,,,,,space,0.4573,NAN,,NAN,,0,147,147,147,1,148,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_1.jpeg,liked,5.246980764,,,,,,,,,,,
,,,,,,space,0.178,NAN,,NAN,,0,148,148,148,1,149,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_2.jpeg,liked,3.30081769,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,999,space,0.3839,0,0,0,0,1,,
,,,,,,,,5,,9,,0,149,149,149,1,150,Sam,Rej,Participant_Images/5d16d17119d2ed0015e21360/5d16d17119d2ed0015e21360_Images/5d16d17119d2ed0015e21360_Image_9.jpeg,did not like,1.661473164,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9826
