endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt
space,54.4844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,15.4985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.6309,NAN,,NAN,,0,27,27,27,1,28,Taylor,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_15.jpeg,did not like,5.246980764,,,,,,,,,,,,
,,,,,,space,0.6266,NAN,,NAN,,0,28,28,28,1,29,Taylor,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_3.jpeg,did not like,3.30081769,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.5018,0,0,0,0,1,0.7514,,
,,,,,,,,1,,4,,0,29,29,29,1,30,Taylor,Rej,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_1.jpeg,did not like,1.661473164,,,,,,,,,,,,
,,,,space,2.1033,space,0.8041,NAN,,NAN,,0,30,30,30,1,31,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_6.jpeg,liked,3.613205605,,,,,,,,,,,,
,,,,,,space,0.5406,NAN,,NAN,,0,31,31,31,1,32,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_20.jpeg,liked,4.988446431,,,,,,,,,,,,
,,,,,,space,0.7099,NAN,,NAN,,0,32,32,32,1,33,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_4.jpeg,did not like,3.470791822,,,,,,,,,,,,
,,,,,,space,0.5228,NAN,,NAN,,0,33,33,33,1,34,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_12.jpeg,liked,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.5417,0,0,0,0,1,0.854,,
,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Alex,Acc,Participant_Images/611118b967515e93dcf141f1/611118b967515e93dcf141f1_Images/611118b967515e93dcf141f1_Image_11.jpeg,liked,2.455989137,,,,,,,,,,,,
