PROLIFIC_ID,condition_recode,aggregated_value,choice
5bcc60b95c2b810001dc68e2,-1,-1,0.0
5bcc60b95c2b810001dc68e2,-1,1,0.0
5bcc60b95c2b810001dc68e2,-1,-1,0.0
5bcc60b95c2b810001dc68e2,-1,-1,0.0
5bcc60b95c2b810001dc68e2,-1,-1,0.0
5bcc60b95c2b810001dc68e2,-1,-1,0.0
5bcc60b95c2b810001dc68e2,1,-1,0.0
5bcc60b95c2b810001dc68e2,1,1,0.0
5bcc60b95c2b810001dc68e2,1,1,0.0
5bcc60b95c2b810001dc68e2,1,1,0.0
5bcc60b95c2b810001dc68e2,1,1,0.0
5bcc60b95c2b810001dc68e2,1,1,0.0
5bcc60b95c2b810001dc68e2,1,1,999.0
5bcc60b95c2b810001dc68e2,1,-1,0.0
5bcc60b95c2b810001dc68e2,1,1,0.0
5bcc60b95c2b810001dc68e2,1,1,0.0
5bcc60b95c2b810001dc68e2,1,1,0.0
5bcc60b95c2b810001dc68e2,1,1,0.0
5bcc60b95c2b810001dc68e2,-1,-1,0.0
5bcc60b95c2b810001dc68e2,-1,-1,0.0
5bcc60b95c2b810001dc68e2,-1,-1,0.0
5bcc60b95c2b810001dc68e2,-1,1,0.0
5bcc60b95c2b810001dc68e2,-1,-1,0.0
5bcc60b95c2b810001dc68e2,-1,1,999.0
5c1c74700036a80001193c24,1,-1,999.0
5c1c74700036a80001193c24,1,1,1.0
5c1c74700036a80001193c24,1,-1,0.0
5c1c74700036a80001193c24,1,-1,0.0
5c1c74700036a80001193c24,1,1,0.0
5c1c74700036a80001193c24,1,1,0.0
5c1c74700036a80001193c24,-1,-1,0.0
5c1c74700036a80001193c24,-1,-1,1.0
5c1c74700036a80001193c24,-1,-1,1.0
5c1c74700036a80001193c24,-1,-1,1.0
5c1c74700036a80001193c24,-1,1,0.0
5c1c74700036a80001193c24,-1,-1,1.0
5c1c74700036a80001193c24,1,1,1.0
5c1c74700036a80001193c24,1,1,1.0
5c1c74700036a80001193c24,1,1,1.0
5c1c74700036a80001193c24,1,1,1.0
5c1c74700036a80001193c24,1,1,0.0
5c1c74700036a80001193c24,1,-1,1.0
5c1c74700036a80001193c24,-1,-1,1.0
5c1c74700036a80001193c24,-1,-1,1.0
5c1c74700036a80001193c24,-1,-1,1.0
5c1c74700036a80001193c24,-1,1,1.0
5c1c74700036a80001193c24,-1,-1,1.0
5c1c74700036a80001193c24,-1,-1,0.0
5c1c74700036a80001193c24,0,1,0.0
5c1c74700036a80001193c24,0,1,0.0
5c1c74700036a80001193c24,0,1,0.0
5c1c74700036a80001193c24,0,1,0.0
5c1c74700036a80001193c24,0,-1,0.0
5c1c74700036a80001193c24,0,-1,1.0
5c1edaeaafeeef00011588b3,1,1,999.0
5c1edaeaafeeef00011588b3,1,1,0.0
5c1edaeaafeeef00011588b3,1,-1,1.0
5c1edaeaafeeef00011588b3,1,-1,1.0
5c1edaeaafeeef00011588b3,1,1,0.0
5c1edaeaafeeef00011588b3,1,1,1.0
5c1edaeaafeeef00011588b3,-1,-1,0.0
5c1edaeaafeeef00011588b3,-1,-1,1.0
5c1edaeaafeeef00011588b3,-1,-1,1.0
5c1edaeaafeeef00011588b3,-1,-1,1.0
5c1edaeaafeeef00011588b3,-1,1,1.0
5c1edaeaafeeef00011588b3,-1,-1,1.0
5c1edaeaafeeef00011588b3,-1,1,1.0
5c1edaeaafeeef00011588b3,-1,-1,1.0
5c1edaeaafeeef00011588b3,-1,-1,1.0
5c1edaeaafeeef00011588b3,-1,-1,0.0
5c1edaeaafeeef00011588b3,-1,-1,1.0
5c1edaeaafeeef00011588b3,-1,-1,1.0
5c1edaeaafeeef00011588b3,1,1,1.0
5c1edaeaafeeef00011588b3,1,1,0.0
5c1edaeaafeeef00011588b3,1,1,1.0
5c1edaeaafeeef00011588b3,1,1,1.0
5c1edaeaafeeef00011588b3,1,1,1.0
5c1edaeaafeeef00011588b3,1,1,1.0
5c1edaeaafeeef00011588b3,0,1,0.0
5c1edaeaafeeef00011588b3,0,-1,1.0
5c1edaeaafeeef00011588b3,0,-1,1.0
5c1edaeaafeeef00011588b3,0,-1,0.0
5c1edaeaafeeef00011588b3,0,-1,0.0
5c1edaeaafeeef00011588b3,0,1,1.0
5c3272172f0f3500010284c0,1,1,999.0
5c3272172f0f3500010284c0,1,1,999.0
5c3272172f0f3500010284c0,1,-1,999.0
5c3272172f0f3500010284c0,1,1,999.0
5c3272172f0f3500010284c0,1,1,999.0
5c3272172f0f3500010284c0,1,1,999.0
5c3272172f0f3500010284c0,0,1,0.0
5c3272172f0f3500010284c0,0,1,1.0
5c3272172f0f3500010284c0,0,1,1.0
5c3272172f0f3500010284c0,0,1,0.0
5c3272172f0f3500010284c0,0,-1,1.0
5c3272172f0f3500010284c0,0,-1,1.0
5c3272172f0f3500010284c0,-1,-1,0.0
5c3272172f0f3500010284c0,-1,-1,0.0
5c3272172f0f3500010284c0,-1,-1,1.0
5c3272172f0f3500010284c0,-1,-1,1.0
5c3272172f0f3500010284c0,-1,1,0.0
5c3272172f0f3500010284c0,-1,-1,999.0
5c3272172f0f3500010284c0,1,1,0.0
5c3272172f0f3500010284c0,1,1,0.0
5c3272172f0f3500010284c0,1,1,1.0
5c3272172f0f3500010284c0,1,1,0.0
5c3272172f0f3500010284c0,1,1,0.0
5c3272172f0f3500010284c0,1,1,1.0
5c3272172f0f3500010284c0,-1,-1,0.0
5c3272172f0f3500010284c0,-1,-1,0.0
