PROLIFIC_ID,condition_recode,afterstresschange,salience_mean,stress_mean,recoded_stress,choice,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order
60fd80b85dd6b22f66d16822,0,1.0,3.0,4.0,4.0,0.0,-1.0,1,1.0,2.0,32.0,0.0,12
60fd80b85dd6b22f66d16822,1,1.0,1.5,4.5,4.5,0.09090909090909091,-1.0,1,1.1818181818181819,2.0,32.0,0.0,12
60fd80b85dd6b22f66d16822,2,1.0,3.5,5.5,5.5,0.09090909090909091,-1.0,1,1.1818181818181819,2.0,32.0,0.0,12
60fd89617258b322c92fdd03,0,1.0,2.0,6.0,6.0,0.8333333333333334,-1.5,1,1.1666666666666667,7.0,22.0,0.0,21
60fd89617258b322c92fdd03,1,1.0,1.5,5.0,5.0,1.0,-1.5,1,1.5833333333333333,7.0,22.0,0.0,21
60fd89617258b322c92fdd03,2,1.0,4.0,6.5,6.5,1.0,-1.5,1,0.9166666666666666,7.0,22.0,0.0,21
60fdb9ec6c3006abe82e5182,0,1.0,3.0,5.0,5.0,0.0,-1.0,1,0.75,2.0,23.0,0.0,12
60fdb9ec6c3006abe82e5182,1,1.0,2.0,3.5,3.5,0.8,-1.0,1,1.1,2.0,23.0,0.0,12
60fdb9ec6c3006abe82e5182,2,1.0,3.5,4.5,4.5,0.0,-1.0,1,0.7272727272727273,2.0,23.0,0.0,12
60fec21e36a05990cfa8a715,0,1.0,2.0,5.0,5.0,0.0,-1.0,1,0.3333333333333333,1.0,26.0,0.0,21
60fec21e36a05990cfa8a715,1,1.0,2.5,5.5,5.5,0.0,-1.0,1,0.08333333333333333,1.0,26.0,0.0,21
60fec21e36a05990cfa8a715,2,1.0,3.0,6.5,6.5,0.0,-1.0,1,0.09090909090909091,1.0,26.0,0.0,21
60ff33eea57872b7188f12e2,0,1.0,3.0,5.0,5.0,0.0,-0.5,1,0.5,2.0,31.0,0.0,12
60ff33eea57872b7188f12e2,1,1.0,2.0,4.5,4.5,0.0,-0.5,1,1.0909090909090908,2.0,31.0,0.0,12
60ff33eea57872b7188f12e2,2,1.0,3.5,5.0,5.0,0.0,-0.5,1,1.0,2.0,31.0,0.0,12
60ff830d7a7cce48e1787ba2,0,1.0,3.0,5.0,5.0,1.0,0.0,0,1.3333333333333333,46.0,25.0,0.0,21
60ff830d7a7cce48e1787ba2,1,1.0,3.0,5.0,5.0,1.0,0.0,0,1.0833333333333333,46.0,25.0,0.0,21
60ff830d7a7cce48e1787ba2,2,1.0,3.0,5.0,5.0,0.7272727272727273,0.0,0,1.0,46.0,25.0,0.0,21
610024bfd6e1038ba3b1601d,0,0.0,3.0,2.0,8,1.0,0.0,0,1.1666666666666667,4.0,30.0,0.0,12
610024bfd6e1038ba3b1601d,1,0.0,1.0,1.5,8.5,1.0,0.0,0,1.0909090909090908,4.0,30.0,0.0,12
610024bfd6e1038ba3b1601d,2,0.0,4.0,1.5,8.5,1.0,0.0,0,1.0833333333333333,4.0,30.0,0.0,12
6100652c5329da76a962cdb3,0,1.0,4.0,8.0,8.0,0.6666666666666666,0.0,0,1.5,2.0,22.0,1.0,12
6100652c5329da76a962cdb3,1,1.0,3.0,8.0,8.0,1.0,0.0,0,1.2727272727272727,2.0,22.0,1.0,12
6100652c5329da76a962cdb3,2,1.0,4.0,8.0,8.0,0.6666666666666666,0.0,0,1.1666666666666667,2.0,22.0,1.0,12
