PROLIFIC_ID,TrialNumber,Partner,Condition,Photos,Feedback,sharenextphoto_key.rt,choice_keys.keys,playlottery,choice_keys.rt,resumeafterlottery_keys.rt,salience_rating,stress_level
61006614d4c56450afce3a6b,104,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_24.jpeg,did not like,11.9914,,,,,NAN,NAN
61006614d4c56450afce3a6b,,,,,,,c,0,2.4142,2.9129,,
61006614d4c56450afce3a6b,105,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_20.jpeg,liked,,,,,,NAN,NAN
61006614d4c56450afce3a6b,106,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_28.jpeg,did not like,8.5068,,,,,NAN,NAN
61006614d4c56450afce3a6b,107,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_26.jpeg,liked,1.4532,,,,,NAN,NAN
61006614d4c56450afce3a6b,108,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_16.jpeg,liked,3.6172,,,,,NAN,NAN
61006614d4c56450afce3a6b,109,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_27.jpeg,did not like,475.526,,,,,NAN,NAN
61006614d4c56450afce3a6b,,,,,,,c,0,2.5043,1.0964,,
61006614d4c56450afce3a6b,110,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_15.jpeg,liked,,,,,,NAN,NAN
61006614d4c56450afce3a6b,111,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_30.jpeg,did not like,1.6925,,,,,NAN,NAN
61006614d4c56450afce3a6b,112,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_3.jpeg,liked,1.0369,,,,,NAN,NAN
61006614d4c56450afce3a6b,113,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_11.jpeg,did not like,10.9337,,,,,NAN,NAN
61006614d4c56450afce3a6b,114,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_9.jpeg,liked,6.9032,,,,,NAN,NAN
61006614d4c56450afce3a6b,,,,,,,s,1,1.374,1.1612,,
61006614d4c56450afce3a6b,115,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_25.jpeg,liked,,,,,,NAN,NAN
61006614d4c56450afce3a6b,116,Alex,Acc,Participant_Images/61006614d4c56450afce3a6b/61006614d4c56450afce3a6b_Images/61006614d4c56450afce3a6b_Image_6.jpeg,liked,1.9157,,,,,NAN,NAN
