PROLIFIC_ID,trialnumber,choice,condition,feedback_words,condition_recode,feedbackvalue,aggregated_value
568d286ab5a2c2000cb6a91c,115.0,1.0,Rej,did not like,1,1,1.0
568d286ab5a2c2000cb6a91c,116.0,1.0,Rej,liked,1,-1,-1.0
568d286ab5a2c2000cb6a91c,117.0,1.0,Rej,liked,1,-1,-1.0
568d286ab5a2c2000cb6a91c,118.0,1.0,Rej,did not like,1,1,-1.0
568d286ab5a2c2000cb6a91c,119.0,1.0,Rej,did not like,1,1,-1.0
568d286ab5a2c2000cb6a91c,120.0,1.0,Rej,liked,1,-1,-1.0
568d286ab5a2c2000cb6a91c,121.0,1.0,Acc,did not like,-1,1,-1.0
568d286ab5a2c2000cb6a91c,122.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,123.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,124.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,125.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,126.0,1.0,Acc,did not like,-1,1,1.0
568d286ab5a2c2000cb6a91c,127.0,1.0,Acc,did not like,-1,1,1.0
568d286ab5a2c2000cb6a91c,128.0,1.0,Acc,liked,-1,-1,1.0
568d286ab5a2c2000cb6a91c,129.0,1.0,Acc,did not like,-1,1,1.0
568d286ab5a2c2000cb6a91c,130.0,1.0,Acc,liked,-1,-1,1.0
568d286ab5a2c2000cb6a91c,131.0,1.0,Acc,did not like,-1,1,-1.0
568d286ab5a2c2000cb6a91c,132.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,133.0,1.0,Acc,did not like,-1,1,-1.0
568d286ab5a2c2000cb6a91c,134.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,135.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,136.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,137.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,138.0,1.0,Acc,did not like,-1,1,-1.0
568d286ab5a2c2000cb6a91c,139.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,140.0,1.0,Acc,did not like,-1,1,-1.0
568d286ab5a2c2000cb6a91c,141.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,142.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,143.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,144.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,145.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,146.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,147.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,148.0,1.0,Acc,did not like,-1,1,-1.0
568d286ab5a2c2000cb6a91c,149.0,1.0,Acc,liked,-1,-1,-1.0
568d286ab5a2c2000cb6a91c,150.0,1.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,1.0,999.0,Neutral,liked,0,-1,-1.0
595727bd7c76640001aa8f6e,2.0,999.0,Neutral,liked,0,-1,-1.0
595727bd7c76640001aa8f6e,3.0,999.0,Neutral,liked,0,-1,-1.0
595727bd7c76640001aa8f6e,4.0,999.0,Neutral,did not like,0,1,-1.0
595727bd7c76640001aa8f6e,5.0,999.0,Neutral,did not like,0,1,-1.0
595727bd7c76640001aa8f6e,6.0,0.0,Neutral,liked,0,-1,-1.0
595727bd7c76640001aa8f6e,7.0,0.0,Neutral,liked,0,-1,-1.0
595727bd7c76640001aa8f6e,8.0,0.0,Neutral,did not like,0,1,-1.0
595727bd7c76640001aa8f6e,9.0,0.0,Neutral,liked,0,-1,-1.0
595727bd7c76640001aa8f6e,10.0,0.0,Neutral,liked,0,-1,-1.0
595727bd7c76640001aa8f6e,11.0,1.0,Neutral,did not like,0,1,1.0
595727bd7c76640001aa8f6e,12.0,1.0,Neutral,did not like,0,1,1.0
595727bd7c76640001aa8f6e,13.0,1.0,Neutral,did not like,0,1,1.0
595727bd7c76640001aa8f6e,14.0,1.0,Neutral,did not like,0,1,1.0
595727bd7c76640001aa8f6e,15.0,1.0,Neutral,liked,0,-1,1.0
595727bd7c76640001aa8f6e,16.0,1.0,Neutral,did not like,0,1,-1.0
595727bd7c76640001aa8f6e,17.0,1.0,Neutral,liked,0,-1,-1.0
595727bd7c76640001aa8f6e,18.0,1.0,Neutral,liked,0,-1,-1.0
595727bd7c76640001aa8f6e,19.0,1.0,Neutral,did not like,0,1,-1.0
595727bd7c76640001aa8f6e,20.0,1.0,Neutral,liked,0,-1,-1.0
595727bd7c76640001aa8f6e,21.0,1.0,Neutral,liked,0,-1,-1.0
595727bd7c76640001aa8f6e,22.0,1.0,Neutral,liked,0,-1,-1.0
595727bd7c76640001aa8f6e,23.0,1.0,Neutral,did not like,0,1,-1.0
595727bd7c76640001aa8f6e,24.0,1.0,Neutral,liked,0,-1,-1.0
595727bd7c76640001aa8f6e,25.0,1.0,Neutral,did not like,0,1,-1.0
595727bd7c76640001aa8f6e,26.0,0.0,Neutral,did not like,0,1,1.0
595727bd7c76640001aa8f6e,27.0,0.0,Neutral,liked,0,-1,1.0
595727bd7c76640001aa8f6e,28.0,0.0,Neutral,did not like,0,1,1.0
595727bd7c76640001aa8f6e,29.0,0.0,Neutral,did not like,0,1,1.0
595727bd7c76640001aa8f6e,30.0,0.0,Neutral,did not like,0,1,1.0
595727bd7c76640001aa8f6e,31.0,0.0,Acc,did not like,-1,1,-1.0
595727bd7c76640001aa8f6e,32.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,33.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,34.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,35.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,36.0,0.0,Acc,did not like,-1,1,-1.0
595727bd7c76640001aa8f6e,37.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,38.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,39.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,40.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,41.0,1.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,42.0,1.0,Acc,did not like,-1,1,-1.0
595727bd7c76640001aa8f6e,43.0,1.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,44.0,1.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,45.0,1.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,46.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,47.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,48.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,49.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,50.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,51.0,1.0,Acc,liked,-1,-1,1.0
595727bd7c76640001aa8f6e,52.0,1.0,Acc,did not like,-1,1,1.0
595727bd7c76640001aa8f6e,53.0,1.0,Acc,liked,-1,-1,1.0
595727bd7c76640001aa8f6e,54.0,1.0,Acc,did not like,-1,1,1.0
595727bd7c76640001aa8f6e,55.0,1.0,Acc,did not like,-1,1,1.0
595727bd7c76640001aa8f6e,56.0,0.0,Acc,liked,-1,-1,1.0
595727bd7c76640001aa8f6e,57.0,0.0,Acc,did not like,-1,1,1.0
595727bd7c76640001aa8f6e,58.0,0.0,Acc,did not like,-1,1,1.0
595727bd7c76640001aa8f6e,59.0,0.0,Acc,liked,-1,-1,1.0
595727bd7c76640001aa8f6e,60.0,0.0,Acc,did not like,-1,1,1.0
595727bd7c76640001aa8f6e,61.0,0.0,Rej,liked,1,-1,-1.0
595727bd7c76640001aa8f6e,62.0,0.0,Rej,did not like,1,1,-1.0
595727bd7c76640001aa8f6e,63.0,0.0,Rej,liked,1,-1,-1.0
595727bd7c76640001aa8f6e,64.0,0.0,Rej,liked,1,-1,-1.0
595727bd7c76640001aa8f6e,65.0,0.0,Rej,did not like,1,1,-1.0
595727bd7c76640001aa8f6e,66.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,67.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,68.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,69.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,70.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,71.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,72.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,73.0,0.0,Rej,liked,1,-1,1.0
595727bd7c76640001aa8f6e,74.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,75.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,76.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,77.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,78.0,0.0,Rej,liked,1,-1,1.0
595727bd7c76640001aa8f6e,79.0,0.0,Rej,liked,1,-1,1.0
595727bd7c76640001aa8f6e,80.0,0.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,81.0,1.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,82.0,1.0,Rej,liked,1,-1,1.0
595727bd7c76640001aa8f6e,83.0,1.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,84.0,1.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,85.0,1.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,86.0,1.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,87.0,1.0,Rej,liked,1,-1,1.0
595727bd7c76640001aa8f6e,88.0,1.0,Rej,liked,1,-1,1.0
595727bd7c76640001aa8f6e,89.0,1.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,90.0,1.0,Rej,did not like,1,1,1.0
595727bd7c76640001aa8f6e,91.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,92.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,93.0,0.0,Acc,did not like,-1,1,-1.0
595727bd7c76640001aa8f6e,94.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,95.0,0.0,Acc,liked,-1,-1,-1.0
595727bd7c76640001aa8f6e,96.0,0.0,Acc,did not like,-1,1,1.0
595727bd7c76640001aa8f6e,97.0,0.0,Acc,did not like,-1,1,1.0
595727bd7c76640001aa8f6e,98.0,0.0,Acc,did not like,-1,1,1.0
595727bd7c76640001aa8f6e,99.0,0.0,Acc,liked,-1,-1,1.0
595727bd7c76640001aa8f6e,100.0,0.0,Acc,did not like,-1,1,1.0
595727bd7c76640001aa8f6e,101.0,0.0,Acc,liked,-1,-1,-1.0
