sub_ID,Social Condition,condition_recode,afterstresschange,salience_mean,stress_mean,recoded_stress,Choice,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order
63ea4ab1ce4168cbe9f63775,Neutral,0,1,1,1,1,0,2,0,0.666666667,7,30,1,12
63eac31811a6da58d4f32d76,Neutral,0,1,3,9,9,0.4,0,0,1.6,2,19,1,12
63fac97f0d4e8f6bfd753d90,Neutral,0,1,1,5,5,0,0,0,1.75,2,28,1,12
6400d8ca785ee04d9b02ae9c,Neutral,0,1,3,4,4,0,-1.5,1,1.4,36,32,0,21
64023a98627b1116180dff0b,Neutral,0,1,3,6,6,0.75,-4,1,1.75,7,28,0,21
641361334c91a0c6ff4c5b79,Neutral,0,1,1,9,9,1,0,0,0.5,2,26,1,12
641a3df3c874807a1a8734bc,Neutral,0,1,3,6,6,0.5,-1,1,1.166666667,2,30,1,21
568d286ab5a2c2000cb6a91c,Rejection,1,1,1.5,4.5,4.5,1,-0.5,1,1.083333333,2,34,0,21
595727bd7c76640001aa8f6e,Rejection,1,1,4,7,7,0.25,1,0,1.583333333,16,23,0,21
5a4636c92f91ec0001dcba07,Rejection,1,0,1.5,5.5,4.5,0.090909091,-0.5,1,0.545454545,7,31,0,12
5ad2c8334d061300011b1985,Rejection,1,0,3,4,6,0.5,-1.5,1,1,1,29,1,21
5adef850eb60400001539109,Rejection,1,0,3,2,8,1,2.5,0,0.727272727,1,25,1,21
5aec7e89ae13140001fc0cdf,Rejection,1,1,1.5,4.5,4.5,0.333333333,-2,1,0.5,55,30,0,21
5b6c312fa1fda800015fe165,Rejection,1,1,2,3,3,1,-3.5,1,1,2,32,0,12
5bcc60b95c2b810001dc68e2,Rejection,1,1,2.5,5,5,0,0,0,1.090909091,2,27,1,21
5c1c74700036a80001193c24,Rejection,1,1,1,4.5,4.5,0.545454545,0,0,1.090909091,17,35,0,12
5c1edaeaafeeef00011588b3,Rejection,1,1,3.5,6,6,0.727272727,-1.5,1,0.818181818,2,28,1,12
5c3272172f0f3500010284c0,Rejection,1,1,2,4,4,0.333333333,-1.5,1,1.166666667,1,35,0,12
5cab944b41de360017e2c3db,Rejection,1,1,2.5,5,5,0.666666667,-2,1,1.666666667,2,30,0,21
5d55d562e04e1c0001f5e682,Rejection,1,0,2,6.5,3.5,0.090909091,-0.5,1,1,3,32,0,12
5dcb685070d51c8275d7bd54,Rejection,1,0,2,2.5,7.5,1,0,0,1.333333333,3,26,1,21
5dee8ee31255595293a9906b,Rejection,1,0,1.5,2,8,0,0,0,0.909090909,4,34,1,21
5ec75df0d799ae1c11a8115c,Rejection,1,0,2,4.5,5.5,0.181818182,-1.5,1,1.181818182,14,23,0,12
5eefc651cb94ad4c4d017b86,Rejection,1,0,1.5,5,5,0.363636364,-2,1,1.272727273,4,34,1,21
5f16f559325a640008bb9a07,Rejection,1,0,1.5,1,9,1,0,0,0.727272727,1,36,1,12
5f32bc368853aa03df112fc6,Rejection,1,0,2,4.5,5.5,1,-3.5,1,1.6,3,23,0,12
5f985596be2ea910b23827ed,Rejection,1,1,3,5,5,0,-0.5,1,0.909090909,57,23,0,21
5f9873550513db147c9d2958,Rejection,1,1,1.5,5,5,0.583333333,0,0,1,3,23,0,21
5fd18d125e1f92195b1717bc,Rejection,1,1,2.5,5,5,0.272727273,-0.5,1,1.545454545,4,26,1,12
5ff27bb4ad8fba794c1b96fa,Rejection,1,0,1.5,7,3,0,-1,1,0.5,8,35,0,21
6056bcf1cee7a41435889255,Rejection,1,1,1.5,8.5,8.5,0,-0.5,1,0.75,2,29,0,21
605b5b5feff0e95f2cd60834,Rejection,1,1,1,6,6,0.583333333,0,0,1.25,2,25,0,21
608209b96e955ba5201eff25,Rejection,1,1,2,5,5,1,-1.5,1,1.454545455,2,21,0,12
60bff9298f56d55c8ecd9adf,Rejection,1,0,1.5,2.5,7.5,0.666666667,0,0,1,4,32,0,21
60d2b326161a622cd363268a,Rejection,1,1,2,4.5,4.5,0.25,-2.5,1,1,2,32,0,12
60dbf4d94a3b5564b68881e8,Rejection,1,0,1.5,7.5,2.5,0,-1.5,1,0.454545455,3,23,0,12
60ea57c074a703877f04330b,Rejection,1,1,4,9,9,0.454545455,0,0,0.636363636,17,30,1,12
60ef2700e476748689a999f7,Rejection,1,0,1,1,9,1,0,0,1.454545455,4,31,0,12
60f4e3ab507bbb123f866e88,Rejection,1,1,2.5,5,5,0.181818182,-0.5,1,1.545454545,2,24,0,12
60fcebba7345a976efc9c080,Rejection,1,0,2,5.5,4.5,0.181818182,-0.5,1,1.727272727,2,999,999,21
60fd56db5fe37ebeca00bc83,Rejection,1,1,3.5,6,6,0.916666667,-1,1,1,2,33,0,21
60fd5a99c4e4ead0c9a6fff4,Rejection,1,1,2.5,3,3,1,0,0,0.818181818,2,29,0,12
60fd80b85dd6b22f66d16822,Rejection,1,1,1.5,4.5,4.5,0.090909091,-1,1,1.181818182,2,32,0,12
60fd89617258b322c92fdd03,Rejection,1,1,1.5,5,5,1,-1.5,1,1.583333333,7,22,0,21
60fdb9ec6c3006abe82e5182,Rejection,1,1,2,3.5,3.5,0.8,-1,1,1.1,2,23,0,12
60fec21e36a05990cfa8a715,Rejection,1,1,2.5,5.5,5.5,0,-1,1,0.083333333,1,26,0,21
60ff33eea57872b7188f12e2,Rejection,1,1,2,4.5,4.5,0,-0.5,1,1.090909091,2,31,0,12
60ff830d7a7cce48e1787ba2,Rejection,1,1,3,5,5,1,0,0,1.083333333,46,25,0,21
610024bfd6e1038ba3b1601d,Rejection,1,0,1,1.5,8.5,1,0,0,1.090909091,4,30,0,12
6100652c5329da76a962cdb3,Rejection,1,1,3,8,8,1,0,0,1.272727273,2,22,1,12
61006614d4c56450afce3a6b,Rejection,1,0,4,3,7,1,0,0,1.25,3,30,0,12
61006f43a84b82fb439d7cba,Rejection,1,1,2,9,9,1,0,0,0.666666667,9,26,0,21
610247cdbc9b348fd6601cb3,Rejection,1,1,2,4.5,4.5,0.909090909,-1.5,1,1,17,24,0,12
610367ad785ce86ceb8d201c,Rejection,1,1,2.5,3.5,3.5,0,-3,1,1.181818182,2,19,0,12
6107f902de5549cbdf72cbe1,Rejection,1,1,2.5,7,7,0.727272727,0,0,1,17,25,0,12
61084dbab48ab21fce452554,Rejection,1,1,1,2,2,0.454545455,-1.5,1,1.090909091,11,25,0,12
6112c911a83cc494df38b468,Rejection,1,1,2.5,5,5,0.272727273,-0.5,1,1.454545455,2,28,0,12
6112dccad39227e361c13866,Rejection,1,1,1,2.5,2.5,0.181818182,-2,1,1,2,22,0,12
6116f60ae8f48f7d1244e8d3,Rejection,1,1,2,5,5,0.181818182,-0.5,1,0.909090909,17,23,0,12
612e6569f68929afb886fb5c,Rejection,1,1,1,2.5,2.5,1,-3,1,1.454545455,11,23,0,12
61338374ecef87bfdfd1c7bb,Rejection,1,0,2.5,6.5,3.5,0,1,0,1.555555556,5,20,1,12
6154a88b71a7f4347658b0f7,Rejection,1,0,1.5,1,9,0.583333333,0,0,1.333333333,3,20,0,12
615a084387075364a7462335,Rejection,1,1,1.5,2.5,2.5,0,-1.5,1,1.454545455,8,27,0,21
62a1ed3d1357f3e033ae44f9,Rejection,1,1,2.5,6,6,0,-0.5,1,0.666666667,11,23,1,21
62a885d5b6af18b3d4579e1b,Rejection,1,1,3.5,7,7,0,0,0,1.083333333,2,30,1,12
62fb84322433c8d7e890a145,Rejection,1,1,2,4,4,0.090909091,-1.5,1,1.181818182,2,22,0,12
630386f64c5bbd56ab1c3b0f,Rejection,1,0,3,9,1,1,-1,1,1.5,3,32,0,21
631f3abc8826b6e7e8982648,Rejection,1,0,1,2,8,0.454545455,2.5,0,1.636363636,3,36,0,12
63235c5bf70d8e4f79b205cd,Rejection,1,0,2.5,4.5,5.5,0.181818182,2.5,0,1.545454545,3,25,1,12
6346da55c3bf67b0dbf06272,Rejection,1,1,2,6.5,6.5,0.181818182,-0.5,1,0.818181818,17,26,999,12
63ced670c8d001d1d5057140,Rejection,1,1,3.5,6.5,6.5,1,-0.5,1,1.2,2,22,0,21
63d13e2a6dd3ec4a5f6bff7b,Rejection,1,1,2,4.5,4.5,0,-0.5,1,0.666666667,2,32,1,21
63d3f98237a95683bfa381e3,Rejection,1,1,1.5,1.5,1.5,0.583333333,-2.5,1,0.833333333,2,25,0,21
63d3f9d0ab6c170778b0d3d1,Rejection,1,1,4,8,8,0.090909091,-0.5,1,1.090909091,1,21,0,12
63d4019999c9ab839156014c,Rejection,1,1,1.5,8,8,1,0,0,0.636363636,17,19,0,12
63d40481d12fc9cc4c1adab0,Rejection,1,1,1.5,1.5,1.5,0,-0.5,1,0.272727273,2,26,1,12
63d5bb0d1cc3800ad1e343dc,Rejection,1,0,2,2.5,7.5,0,0,0,0.833333333,4,18,1,21
63d5e3bf4a739d1158b9ce64,Rejection,1,1,1,1,1,0.083333333,-4.5,1,1.083333333,13,34,0,21
