PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
5dee8ee31255595293a9906b,,,,,,,space,0.5652,NAN,,NAN,,0.0,46.0,46.0,46.0,1.0,47.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_29.jpeg,did not like,4.438512181,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.6618,NAN,,NAN,,0.0,47.0,47.0,47.0,1.0,48.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_9.jpeg,liked,2.682944783,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,1.4457,NAN,,NAN,,0.0,48.0,48.0,48.0,1.0,49.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_28.jpeg,liked,4.51984296,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,,,,,,,,,,,,,,,,,,c,0.0,space,0.6462,0.0,0.0,0.0,0.0,1.0,2.1943,,,
5dee8ee31255595293a9906b,,,,,,,,,NAN,,NAN,,0.0,49.0,49.0,49.0,1.0,50.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_4.jpeg,liked,3.195382774,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.7604,NAN,,NAN,,0.0,50.0,50.0,50.0,1.0,51.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_24.jpeg,did not like,1.779333479,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.4074,NAN,,NAN,,0.0,51.0,51.0,51.0,1.0,52.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_30.jpeg,liked,4.312468682,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5352,NAN,,NAN,,0.0,52.0,52.0,52.0,1.0,53.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_19.jpeg,liked,4.940433059,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,0.5296,NAN,,NAN,,0.0,53.0,53.0,53.0,1.0,54.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_13.jpeg,liked,2.7105123,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,,,,,,,,,,,,,,,,,,c,0.0,space,0.6865,0.0,0.0,0.0,0.0,1.0,0.7613,,,
5dee8ee31255595293a9906b,,,,,,,,,NAN,,NAN,,0.0,54.0,54.0,54.0,1.0,55.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_20.jpeg,liked,3.602308302,,,,,,,,,,,,,
5dee8ee31255595293a9906b,,,,,,,space,1.1381,NAN,,NAN,,0.0,55.0,55.0,55.0,1.0,56.0,Alex,Acc,Participant_Images/5dee8ee31255595293a9906b/5dee8ee31255595293a9906b_Images/5dee8ee31255595293a9906b_Image_23.jpeg,liked,4.106391878,,,,,,,,,,,,,
