endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,8.8838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,3.6178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.8163,NAN,,NAN,,0,48,48,48,1,49,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_25.jpeg,did not like,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.5736,0,0,0,0,1,1.5537,h,0.66,,
,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_27.jpeg,liked,3.195382774,,,,,,,,,,,,,,
,,,,,,space,1.9188,NAN,,NAN,,0,50,50,50,1,51,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_15.jpeg,did not like,1.779333479,,,,,,,,,,,,,,
,,,,,,space,2.0876,NAN,,NAN,,0,51,51,51,1,52,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_14.jpeg,did not like,4.312468682,,,,,,,,,,,,,,
,,,,,,space,0.719,NAN,,NAN,,0,52,52,52,1,53,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_6.jpeg,did not like,4.940433059,,,,,,,,,,,,,,
,,,,,,space,0.9716,NAN,,NAN,,0,53,53,53,1,54,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_20.jpeg,liked,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.6037,0,0,0,0,1,1.5414,h,1.0978,,
,,,,,,,,NAN,,NAN,,0,54,54,54,1,55,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_21.jpeg,did not like,3.602308302,,,,,,,,,,,,,,
,,,,,,space,0.5924,NAN,,NAN,,0,55,55,55,1,56,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_3.jpeg,liked,4.106391878,,,,,,,,,,,,,,
,,,,,,space,0.7553,NAN,,NAN,,0,56,56,56,1,57,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_19.jpeg,liked,3.799433026,,,,,,,,,,,,,,
,,,,,,space,0.986,NAN,,NAN,,0,57,57,57,1,58,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_1.jpeg,liked,5.246980764,,,,,,,,,,,,,,
,,,,,,space,1.0031,NAN,,NAN,,0,58,58,58,1,59,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_11.jpeg,liked,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.187,0,0,0,0,1,1.3475,h,1.121,,
,,,,,,,,3,,4,,0,59,59,59,1,60,Riley,Neutral,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_22.jpeg,liked,1.661473164,,,,,,,,,,,,,,
,,,,space,2.3603,space,0.6663,NAN,,NAN,,0,60,60,60,1,61,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_12.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,space,2.0906,NAN,,NAN,,0,61,61,61,1,62,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_25.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,space,3.9511,NAN,,NAN,,0,62,62,62,1,63,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_28.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,space,1.4179,NAN,,NAN,,0,63,63,63,1,64,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_23.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,1.0163,0,0,0,0,1,3.0733,h,0.4129,,
,,,,,,,,NAN,,NAN,,0,64,64,64,1,65,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_1.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,space,1.603,NAN,,NAN,,0,65,65,65,1,66,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_5.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,space,0.6338,NAN,,NAN,,0,66,66,66,1,67,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_15.jpeg,liked,3.562416326,,,,,,,,,,,,,,
,,,,,,space,1.0694,NAN,,NAN,,0,67,67,67,1,68,Taylor,Acc,Participant_Images/5adef850eb60400001539109/5adef850eb60400001539109_Images/5adef850eb60400001539109_Image_11.jpeg,did not like,2.843822497,,,,,,,,,,,,,,
