endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,12.3814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,16.5165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.3334,NAN,,NAN,,0,35,35,35,1,36,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_8.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,space,0.5646,NAN,,NAN,,0,36,36,36,1,37,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_26.jpeg,did not like,3.562416326,,,,,,,,,,,,,,
,,,,,,space,0.5189,NAN,,NAN,,0,37,37,37,1,38,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_11.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,space,0.3797,NAN,,NAN,,0,38,38,38,1,39,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_25.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.4411,0,0,0,0,1,1.1962,,,,
,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_30.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,space,0.3235,NAN,,NAN,,0,40,40,40,1,41,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_24.jpeg,did not like,4.942172136,,,,,,,,,,,,,,
,,,,,,space,0.4375,NAN,,NAN,,0,41,41,41,1,42,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_13.jpeg,did not like,2.50187214,,,,,,,,,,,,,,
,,,,,,space,0.313,NAN,,NAN,,0,42,42,42,1,43,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_22.jpeg,did not like,2.071164779,,,,,,,,,,,,,,
,,,,,,space,0.3529,NAN,,NAN,,0,43,43,43,1,44,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_10.jpeg,did not like,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.4604,0,0,0,0,1,1.7726,h,1.1599,,
,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_27.jpeg,did not like,2.642157193,,,,,,,,,,,,,,
,,,,,,space,0.3416,NAN,,NAN,,0,45,45,45,1,46,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_21.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,space,0.6584,NAN,,NAN,,0,46,46,46,1,47,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_5.jpeg,did not like,4.438512181,,,,,,,,,,,,,,
,,,,,,space,1.3303,NAN,,NAN,,0,47,47,47,1,48,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_1.jpeg,did not like,2.682944783,,,,,,,,,,,,,,
,,,,,,space,0.8268,NAN,,NAN,,0,48,48,48,1,49,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_9.jpeg,liked,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,4.1738,0,0,0,0,1,1.7002,,,,
,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_23.jpeg,did not like,3.195382774,,,,,,,,,,,,,,
,,,,,,space,0.3772,NAN,,NAN,,0,50,50,50,1,51,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_6.jpeg,did not like,1.779333479,,,,,,,,,,,,,,
,,,,,,space,0.3259,NAN,,NAN,,0,51,51,51,1,52,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_3.jpeg,did not like,4.312468682,,,,,,,,,,,,,,
,,,,,,space,0.924,NAN,,NAN,,0,52,52,52,1,53,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_28.jpeg,did not like,4.940433059,,,,,,,,,,,,,,
,,,,,,space,0.2997,NAN,,NAN,,0,53,53,53,1,54,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_18.jpeg,did not like,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.5763,0,0,0,0,1,2.1588,h,1.6407,,
,,,,,,,,NAN,,NAN,,0,54,54,54,1,55,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_20.jpeg,did not like,3.602308302,,,,,,,,,,,,,,
,,,,,,space,0.3169,NAN,,NAN,,0,55,55,55,1,56,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_29.jpeg,did not like,4.106391878,,,,,,,,,,,,,,
,,,,,,space,0.8026,NAN,,NAN,,0,56,56,56,1,57,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_12.jpeg,liked,3.799433026,,,,,,,,,,,,,,
,,,,,,space,0.3212,NAN,,NAN,,0,57,57,57,1,58,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_14.jpeg,did not like,5.246980764,,,,,,,,,,,,,,
,,,,,,space,0.6812,NAN,,NAN,,0,58,58,58,1,59,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_4.jpeg,liked,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.705,0,0,0,0,1,1.2452,,,,
,,,,,,,,1,,5,,0,59,59,59,1,60,Alex,Rej,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_17.jpeg,did not like,1.661473164,,,,,,,,,,,,,,
,,,,space,0.7895,space,0.3273,NAN,,NAN,,0,60,60,60,1,61,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_26.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
,,,,,,space,0.4181,NAN,,NAN,,0,61,61,61,1,62,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_4.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,space,0.6476,NAN,,NAN,,0,62,62,62,1,63,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_17.jpeg,did not like,3.470791822,,,,,,,,,,,,,,
,,,,,,space,0.4795,NAN,,NAN,,0,63,63,63,1,64,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_5.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,s,1,space,0.386,0,0,0,0,1,1.0785,h,1.2524,,
,,,,,,,,NAN,,NAN,,0,64,64,64,1,65,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_7.jpeg,liked,2.455989137,,,,,,,,,,,,,,
,,,,,,space,0.4124,NAN,,NAN,,0,65,65,65,1,66,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_1.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,space,0.3681,NAN,,NAN,,0,66,66,66,1,67,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_27.jpeg,liked,3.562416326,,,,,,,,,,,,,,
,,,,,,space,0.6149,NAN,,NAN,,0,67,67,67,1,68,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_22.jpeg,did not like,2.843822497,,,,,,,,,,,,,,
,,,,,,space,2.5968,NAN,,NAN,,0,68,68,68,1,69,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_2.jpeg,liked,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.8436,0,0,0,0,1,1.6776,,,,
,,,,,,,,NAN,,NAN,,0,69,69,69,1,70,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_6.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,space,0.3541,NAN,,NAN,,0,70,70,70,1,71,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_15.jpeg,did not like,4.942172136,,,,,,,,,,,,,,
,,,,,,space,0.5081,NAN,,NAN,,0,71,71,71,1,72,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_21.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,space,0.6132,NAN,,NAN,,0,72,72,72,1,73,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_13.jpeg,liked,2.071164779,,,,,,,,,,,,,,
,,,,,,space,0.3991,NAN,,NAN,,0,73,73,73,1,74,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_19.jpeg,did not like,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.5421,0,0,0,0,1,1.1707,,,,
,,,,,,,,NAN,,NAN,,0,74,74,74,1,75,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_16.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,space,0.8073,NAN,,NAN,,0,75,75,75,1,76,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_11.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,space,0.5066,NAN,,NAN,,0,76,76,76,1,77,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_3.jpeg,liked,4.438512181,,,,,,,,,,,,,,
,,,,,,space,0.5177,NAN,,NAN,,0,77,77,77,1,78,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_20.jpeg,liked,2.682944783,,,,,,,,,,,,,,
,,,,,,space,0.3343,NAN,,NAN,,0,78,78,78,1,79,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_18.jpeg,liked,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.8899,0,0,0,0,1,1.1806,,,,
,,,,,,,,NAN,,NAN,,0,79,79,79,1,80,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_23.jpeg,liked,3.195382774,,,,,,,,,,,,,,
,,,,,,space,0.3481,NAN,,NAN,,0,80,80,80,1,81,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_28.jpeg,liked,1.779333479,,,,,,,,,,,,,,
,,,,,,space,0.3747,NAN,,NAN,,0,81,81,81,1,82,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_8.jpeg,liked,4.312468682,,,,,,,,,,,,,,
,,,,,,space,0.5078,NAN,,NAN,,0,82,82,82,1,83,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_14.jpeg,did not like,4.940433059,,,,,,,,,,,,,,
,,,,,,space,0.331,NAN,,NAN,,0,83,83,83,1,84,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_25.jpeg,liked,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.8134,0,0,0,0,1,1.1431,,,,
,,,,,,,,NAN,,NAN,,0,84,84,84,1,85,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_24.jpeg,liked,3.602308302,,,,,,,,,,,,,,
,,,,,,space,0.388,NAN,,NAN,,0,85,85,85,1,86,Riley,Acc,Participant_Images/60fcebba7345a976efc9c080/60fcebba7345a976efc9c080_Images/60fcebba7345a976efc9c080_Image_30.jpeg,liked,4.106391878,,,,,,,,,,,,,,
