PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,end_screen_keys.keys,end_screen_keys.rt
610367ad785ce86ceb8d201c,space,12.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,11.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,space,0.804,NAN,,NAN,,0,32,32,32,1,33,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_30.jpeg,did not like,3.470791822,,,,,,,,,,,,
,,,,,,,space,0.057,NAN,,NAN,,0,33,33,33,1,34,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_13.jpeg,liked,3.820572462,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,2.452,0,0,0,0,1,1.209,,
,,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_17.jpeg,liked,2.455989137,,,,,,,,,,,,
,,,,,,,space,1.855,NAN,,NAN,,0,35,35,35,1,36,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_22.jpeg,liked,3.79605092,,,,,,,,,,,,
,,,,,,,space,2.07,NAN,,NAN,,0,36,36,36,1,37,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_11.jpeg,did not like,3.562416326,,,,,,,,,,,,
,,,,,,,space,4.282,NAN,,NAN,,0,37,37,37,1,38,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_2.jpeg,liked,2.843822497,,,,,,,,,,,,
,,,,,,,space,0.836,NAN,,NAN,,0,38,38,38,1,39,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_16.jpeg,liked,3.546495948,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,2.612,0,0,0,0,1,2.756,,
,,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Charlie,Acc,Participant_Images/610367ad785ce86ceb8d201c/610367ad785ce86ceb8d201c_Images/610367ad785ce86ceb8d201c_Image_12.jpeg,did not like,1.672012706,,,,,,,,,,,,
