PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.keys,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
6400d8ca785ee04d9b02ae9c,space,10.5372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,6.5974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,space,0.2342,NAN,,NAN,,0,18,18,18,1,19,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_25.jpeg,liked,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s,1,1.6914,space,0.6519,0,0,0,0,1,h,1.3803,,
,,,,,,,,,NAN,,NAN,,0,19,19,19,1,20,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_5.jpeg,liked,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,0.253,NAN,,NAN,,0,20,20,20,1,21,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_29.jpeg,liked,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,0.2764,NAN,,NAN,,0,21,21,21,1,22,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_23.jpeg,liked,4.312468682,,,,,,,,,,,,,,
,,,,,,,space,0.3924,NAN,,NAN,,0,22,22,22,1,23,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_7.jpeg,liked,4.940433059,,,,,,,,,,,,,,
,,,,,,,space,0.5314,NAN,,NAN,,0,23,23,23,1,24,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_17.jpeg,liked,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,1.4275,space,0.435,0,0,0,0,1,,,,
,,,,,,,,,NAN,,NAN,,0,24,24,24,1,25,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_14.jpeg,did not like,3.602308302,,,,,,,,,,,,,,
,,,,,,,space,0.4049,NAN,,NAN,,0,25,25,25,1,26,Riley,Acc,Participant_Images/6400d8ca785ee04d9b02ae9c/6400d8ca785ee04d9b02ae9c_Images/6400d8ca785ee04d9b02ae9c_Image_6.jpeg,liked,4.106391878,,,,,,,,,,,,,,
