PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,end_screen_keys.keys,end_screen_keys.rt
5f985596be2ea910b23827ed,space,0.6688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,325.8853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,space,1.068,NAN,,NAN,,0,67,67,67,1,68,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_12.jpeg,liked,2.843822497,,,,,,,,,,,,
,,,,,,,space,0.7192,NAN,,NAN,,0,68,68,68,1,69,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_1.jpeg,liked,3.546495948,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,0.8159,space,0.7275,0,0,0,0,1,,
,,,,,,,,,NAN,,NAN,,0,69,69,69,1,70,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_25.jpeg,did not like,1.672012706,,,,,,,,,,,,
,,,,,,,space,1.585,NAN,,NAN,,0,70,70,70,1,71,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_30.jpeg,did not like,4.942172136,,,,,,,,,,,,
,,,,,,,space,0.9676,NAN,,NAN,,0,71,71,71,1,72,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_21.jpeg,liked,2.50187214,,,,,,,,,,,,
,,,,,,,space,0.7345,NAN,,NAN,,0,72,72,72,1,73,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_29.jpeg,did not like,2.071164779,,,,,,,,,,,,
,,,,,,,space,0.761,NAN,,NAN,,0,73,73,73,1,74,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_8.jpeg,liked,5.336503566,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,3.9195,space,1.7725,0,0,0,0,1,,
,,,,,,,,,NAN,,NAN,,0,74,74,74,1,75,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_23.jpeg,liked,2.642157193,,,,,,,,,,,,
,,,,,,,space,0.596,NAN,,NAN,,0,75,75,75,1,76,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_10.jpeg,liked,4.456234322,,,,,,,,,,,,
,,,,,,,space,1.6023,NAN,,NAN,,0,76,76,76,1,77,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_17.jpeg,liked,4.438512181,,,,,,,,,,,,
,,,,,,,space,4.4104,NAN,,NAN,,0,77,77,77,1,78,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_3.jpeg,liked,2.682944783,,,,,,,,,,,,
,,,,,,,space,0.7511,NAN,,NAN,,0,78,78,78,1,79,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_20.jpeg,liked,4.51984296,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,0.7843,space,1.1681,0,0,0,0,1,,
,,,,,,,,,NAN,,NAN,,0,79,79,79,1,80,Taylor,Acc,Participant_Images/5f985596be2ea910b23827ed/5f985596be2ea910b23827ed_Images/5f985596be2ea910b23827ed_Image_7.jpeg,did not like,3.195382774,,,,,,,,,,,,
