endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
space,26.0353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,30.2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.8841,NAN,,NAN,,0,42,42,42,1,43,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_18.jpeg,liked,2.071164779,,,,,,,,,,,,,
,,,,,,space,0.4663,NAN,,NAN,,0,43,43,43,1,44,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_25.jpeg,did not like,5.336503566,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.0087,0,0,0,0,1,1.1885,,,
,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_6.jpeg,did not like,2.642157193,,,,,,,,,,,,,
,,,,,,space,0.693,NAN,,NAN,,0,45,45,45,1,46,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_29.jpeg,liked,4.456234322,,,,,,,,,,,,,
,,,,,,space,0.5665,NAN,,NAN,,0,46,46,46,1,47,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_27.jpeg,liked,4.438512181,,,,,,,,,,,,,
,,,,,,space,1.3652,NAN,,NAN,,0,47,47,47,1,48,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_23.jpeg,did not like,2.682944783,,,,,,,,,,,,,
,,,,,,space,0.633,NAN,,NAN,,0,48,48,48,1,49,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_19.jpeg,liked,4.51984296,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.2059,0,0,0,0,1,1.4863,,,
,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Sam,Acc,Participant_Images/6111234ac8cfa49e38acbfb4/6111234ac8cfa49e38acbfb4_Images/6111234ac8cfa49e38acbfb4_Image_24.jpeg,liked,3.195382774,,,,,,,,,,,,,
