PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,lotteryguess_keys.keys,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
615a084387075364a7462335,space,13.7783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,16.8092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,space,1.8138,space,0.9722,NAN,,NAN,,0,30,30,30,1,31,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_14.jpeg,liked,3.613205605,,,,,,,,,,,,,,
,,,,,,,space,1.7142,NAN,,NAN,,0,31,31,31,1,32,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_10.jpeg,liked,4.988446431,,,,,,,,,,,,,,
,,,,,,,space,1.3838,NAN,,NAN,,0,32,32,32,1,33,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_9.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,,space,1.4105,NAN,,NAN,,0,33,33,33,1,34,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_2.jpeg,liked,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,1.9456,,space,2.7075,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_27.jpeg,did not like,2.455989137,,,,,,,,,,,,,,
,,,,,,,space,3.2603,NAN,,NAN,,0,35,35,35,1,36,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_22.jpeg,liked,3.79605092,,,,,,,,,,,,,,
,,,,,,,space,1.2837,NAN,,NAN,,0,36,36,36,1,37,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_21.jpeg,liked,3.562416326,,,,,,,,,,,,,,
,,,,,,,space,2.0725,NAN,,NAN,,0,37,37,37,1,38,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_5.jpeg,liked,2.843822497,,,,,,,,,,,,,,
,,,,,,,space,1.6634,NAN,,NAN,,0,38,38,38,1,39,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_18.jpeg,did not like,3.546495948,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,2.36,,space,1.3534,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,39,39,39,1,40,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_7.jpeg,did not like,1.672012706,,,,,,,,,,,,,,
,,,,,,,space,1.183,NAN,,NAN,,0,40,40,40,1,41,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_11.jpeg,liked,4.942172136,,,,,,,,,,,,,,
,,,,,,,space,1.2659,NAN,,NAN,,0,41,41,41,1,42,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_16.jpeg,liked,2.50187214,,,,,,,,,,,,,,
,,,,,,,space,0.5397,NAN,,NAN,,0,42,42,42,1,43,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_20.jpeg,did not like,2.071164779,,,,,,,,,,,,,,
,,,,,,,space,1.4168,NAN,,NAN,,0,43,43,43,1,44,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_3.jpeg,liked,5.336503566,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,1.5583,,space,2.0556,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,44,44,44,1,45,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_6.jpeg,liked,2.642157193,,,,,,,,,,,,,,
,,,,,,,space,1.642,NAN,,NAN,,0,45,45,45,1,46,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_26.jpeg,liked,4.456234322,,,,,,,,,,,,,,
,,,,,,,space,1.2728,NAN,,NAN,,0,46,46,46,1,47,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_15.jpeg,liked,4.438512181,,,,,,,,,,,,,,
,,,,,,,space,1.0774,NAN,,NAN,,0,47,47,47,1,48,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_1.jpeg,liked,2.682944783,,,,,,,,,,,,,,
,,,,,,,space,1.1059,NAN,,NAN,,0,48,48,48,1,49,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_17.jpeg,liked,4.51984296,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,2.2344,,space,1.0884,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,49,49,49,1,50,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_30.jpeg,liked,3.195382774,,,,,,,,,,,,,,
,,,,,,,space,0.9519,NAN,,NAN,,0,50,50,50,1,51,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_12.jpeg,did not like,1.779333479,,,,,,,,,,,,,,
,,,,,,,space,1.5505,NAN,,NAN,,0,51,51,51,1,52,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_13.jpeg,did not like,4.312468682,,,,,,,,,,,,,,
,,,,,,,space,1.128,NAN,,NAN,,0,52,52,52,1,53,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_25.jpeg,did not like,4.940433059,,,,,,,,,,,,,,
,,,,,,,space,1.5061,NAN,,NAN,,0,53,53,53,1,54,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_29.jpeg,liked,2.7105123,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,999,,,space,6.8522,0,0,0,0,1,,,
,,,,,,,,,NAN,,NAN,,0,54,54,54,1,55,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_23.jpeg,liked,3.602308302,,,,,,,,,,,,,,
,,,,,,,space,1.7333,NAN,,NAN,,0,55,55,55,1,56,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_28.jpeg,did not like,4.106391878,,,,,,,,,,,,,,
,,,,,,,space,0.4973,NAN,,NAN,,0,56,56,56,1,57,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_24.jpeg,did not like,3.799433026,,,,,,,,,,,,,,
,,,,,,,space,0.5284,NAN,,NAN,,0,57,57,57,1,58,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_4.jpeg,liked,5.246980764,,,,,,,,,,,,,,
,,,,,,,space,0.772,NAN,,NAN,,0,58,58,58,1,59,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_8.jpeg,liked,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,1.4543,,space,3.2504,0,0,0,0,1,,,
,,,,,,,,,2,,4,,0,59,59,59,1,60,Riley,Acc,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_19.jpeg,liked,1.661473164,,,,,,,,,,,,,,
,,,,,space,3.0716,space,1.5398,NAN,,NAN,,0,60,60,60,1,61,Sam,Rej,Participant_Images/615a084387075364a7462335/615a084387075364a7462335_Images/615a084387075364a7462335_Image_21.jpeg,liked,3.613205605,,,,,,,,,,,,,,
