endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,choice_keys.rt,lotteryguess_keys.keys,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,lotteryguess_keys.rt,end_screen_keys.keys,end_screen_keys.rt
space,10.5072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,space,13.4991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.9095,NAN,,NAN,,0,27,27,27,1,28,Riley,Acc,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_21.jpeg,did not like,5.246980764,,,,,,,,,,,,,,
,,,,,,space,0.9098,NAN,,NAN,,0,28,28,28,1,29,Riley,Acc,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_2.jpeg,liked,3.30081769,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,1.1449,,space,1.3887,0,0,0,0,1,,,
,,,,,,,,4,,2,,0,29,29,29,1,30,Riley,Acc,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_9.jpeg,did not like,1.661473164,,,,,,,,,,,,,,
,,,,space,6.2491,space,0.6308,NAN,,NAN,,0,30,30,30,1,31,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_10.jpeg,did not like,3.613205605,,,,,,,,,,,,,,
,,,,,,space,0.733,NAN,,NAN,,0,31,31,31,1,32,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_28.jpeg,did not like,4.988446431,,,,,,,,,,,,,,
,,,,,,space,0.7653,NAN,,NAN,,0,32,32,32,1,33,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_21.jpeg,liked,3.470791822,,,,,,,,,,,,,,
,,,,,,space,0.7929,NAN,,NAN,,0,33,33,33,1,34,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_13.jpeg,did not like,3.820572462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c,0,1.0214,,space,0.7042,0,0,0,0,1,,,
,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Alex,Neutral,Participant_Images/63d5bb0d1cc3800ad1e343dc/63d5bb0d1cc3800ad1e343dc_Images/63d5bb0d1cc3800ad1e343dc_Image_24.jpeg,liked,2.455989137,,,,,,,,,,,,,,
