PROLIFIC_ID,endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,choice_keys.keys,playlottery,resumeafterlottery_keys.keys,resumeafterlottery_keys.rt,lotteryloop.thisRepN,lotteryloop.thisTrialN,lotteryloop.thisN,lotteryloop.thisIndex,lotteryloop.ran,choice_keys.rt,lotteryguess_keys.keys,end_screen_keys.keys,end_screen_keys.rt
6116f60ae8f48f7d1244e8d3,space,13.3835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,space,10.8506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,space,0.438,NAN,,NAN,,0,27,27,27,1,28,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_5.jpeg,did not like,5.246980764,,,,,,,,,,,,,
,,,,,,,space,0.4828,NAN,,NAN,,0,28,28,28,1,29,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_15.jpeg,did not like,3.30081769,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,0.5726,0,0,0,0,1,1.3464,,,
,,,,,,,,,2,,5,,0,29,29,29,1,30,Riley,Rej,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_10.jpeg,liked,1.661473164,,,,,,,,,,,,,
,,,,,space,3.4426,space,4.6193,NAN,,NAN,,0,30,30,30,1,31,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_11.jpeg,did not like,3.613205605,,,,,,,,,,,,,
,,,,,,,space,3.3211,NAN,,NAN,,0,31,31,31,1,32,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_13.jpeg,liked,4.988446431,,,,,,,,,,,,,
,,,,,,,space,1.4618,NAN,,NAN,,0,32,32,32,1,33,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_14.jpeg,liked,3.470791822,,,,,,,,,,,,,
,,,,,,,space,0.8728,NAN,,NAN,,0,33,33,33,1,34,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_3.jpeg,did not like,3.820572462,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,c,0,space,1.8852,0,0,0,0,1,0.8721,,,
,,,,,,,,,NAN,,NAN,,0,34,34,34,1,35,Taylor,Acc,Participant_Images/6116f60ae8f48f7d1244e8d3/6116f60ae8f48f7d1244e8d3_Images/6116f60ae8f48f7d1244e8d3_Image_22.jpeg,liked,2.455989137,,,,,,,,,,,,,
